tick,hour,alive_total,alive_herbivores,alive_carnivores,alive_insectivores,avg_thirst,avg_hunger,weather,hole_drinkers,hole_capacity,hole_utilization_pct
1,1,20,16,4,4,2.0,0.8,CLEAR,0,8,0.0
2,2,20,16,4,4,4.0,1.6,CLEAR,0,8,0.0
3,3,20,16,4,4,6.0,2.4,CLEAR,0,8,0.0
4,4,20,16,4,4,8.0,3.2,CLEAR,0,8,0.0
5,5,20,16,4,4,10.0,4.0,CLEAR,0,8,0.0
6,6,20,16,4,4,12.0,1.4,CLEAR,0,8,0.0
7,7,20,16,4,4,14.0,1.8,CLEAR,0,8,0.0
8,8,20,16,4,4,16.0,2.2,CLEAR,0,8,0.0
9,9,20,16,4,4,18.0,2.6,CLEAR,0,8,0.0
10,10,20,16,4,4,20.0,3.0,CLEAR,0,8,0.0
11,11,20,16,4,4,22.0,3.4,CLEAR,0,8,0.0
12,12,20,16,4,4,24.0,3.8,CLEAR,0,8,0.0
13,13,20,16,4,4,26.0,4.2,CLEAR,0,8,0.0
14,14,20,16,4,4,28.0,4.6,CLEAR,0,8,0.0
15,15,20,16,4,4,30.0,5.0,CLEAR,0,8,0.0
16,16,20,16,4,4,32.0,5.4,CLEAR,0,8,0.0
17,17,20,16,4,4,34.0,5.8,CLEAR,0,8,0.0
18,18,20,16,4,4,36.0,4.2,CLEAR,0,8,0.0
19,19,20,16,4,4,38.0,5.0,CLEAR,0,8,0.0
20,20,20,16,4,4,40.0,5.8,CLEAR,0,8,0.0
21,21,20,16,4,4,44.0,6.6,DROUGHT,0,8,0.0
22,22,20,16,4,4,48.0,7.4,DROUGHT,0,8,0.0
23,23,20,16,4,4,52.0,8.2,DROUGHT,0,8,0.0
24,0,20,16,4,4,56.0,9.0,DROUGHT,0,8,0.0
25,1,20,16,4,4,60.0,9.8,DROUGHT,0,8,0.0
26,2,20,16,4,4,64.0,10.6,DROUGHT,0,8,0.0
27,3,20,16,4,4,68.0,11.4,DROUGHT,0,8,0.0
28,4,20,16,4,4,72.0,12.2,DROUGHT,0,8,0.0
29,5,20,16,4,4,76.0,13.0,DROUGHT,0,8,0.0
30,6,20,16,4,4,80.0,6.2,DROUGHT,0,8,0.0
31,7,20,16,4,4,84.0,6.6,DROUGHT,1,8,12.5
32,8,20,16,4,4,86.8,6.4,DROUGHT,3,8,37.5
33,9,20,16,4,4,87.0,6.6,DROUGHT,5,8,62.5
34,10,20,16,4,4,84.8,6.9,DROUGHT,8,8,100.0
35,11,5,2,3,0,30.0,21.8,DROUGHT,4,8,50.0
36,12,5,2,3,0,14.0,22.8,DROUGHT,4,8,50.0
37,13,5,2,3,0,4.8,23.8,DROUGHT,2,8,25.0
38,14,5,2,3,0,4.0,24.8,DROUGHT,0,8,0.0
39,15,5,2,3,0,8.0,23.4,DROUGHT,0,8,0.0
40,16,5,2,3,0,12.0,24.0,DROUGHT,0,8,0.0
41,17,5,2,3,0,15.0,25.8,STORM,0,8,0.0
42,18,5,2,3,0,18.0,28.8,STORM,0,8,0.0
43,19,5,2,3,0,21.0,31.8,STORM,0,8,0.0
44,20,5,2,3,0,24.0,34.8,STORM,0,8,0.0
45,21,5,2,3,0,27.0,37.8,STORM,0,8,0.0
46,22,5,2,3,0,30.0,40.8,STORM,0,8,0.0
47,23,5,2,3,0,33.0,43.8,STORM,0,8,0.0
48,0,5,2,3,0,36.0,46.8,STORM,0,8,0.0
49,1,4,1,3,0,40.0,39.5,STORM,0,8,0.0
50,2,4,1,3,0,43.0,42.5,STORM,0,8,0.0
51,3,4,1,3,0,46.0,45.5,STORM,0,8,0.0
52,4,4,1,3,0,49.0,48.5,STORM,0,8,0.0
53,5,4,1,3,0,52.0,51.5,STORM,0,8,0.0
54,6,4,1,3,0,55.0,44.8,STORM,0,8,0.0
55,7,4,1,3,0,58.0,47.0,STORM,0,8,0.0
56,8,4,1,3,0,61.0,49.2,STORM,0,8,0.0
57,9,4,1,3,0,64.0,51.5,STORM,0,8,0.0
58,10,4,1,3,0,67.0,53.8,STORM,1,8,12.5
59,11,4,1,3,0,63.8,56.0,STORM,1,8,12.5
60,12,2,1,1,0,70.0,16.5,STORM,0,8,0.0
61,13,2,1,1,0,74.0,17.0,DROUGHT,0,8,0.0
62,14,2,1,1,0,78.0,17.5,DROUGHT,0,8,0.0
63,15,2,1,1,0,82.0,18.0,DROUGHT,0,8,0.0
64,16,2,1,1,0,86.0,18.5,DROUGHT,0,8,0.0
65,17,2,1,1,0,90.0,19.0,DROUGHT,0,8,0.0
66,18,2,1,1,0,94.0,19.5,DROUGHT,0,8,0.0
67,19,1,1,0,0,96.0,0.0,DROUGHT,1,8,12.5
68,20,0,0,0,0,0,0,DROUGHT,0,8,0.0
69,21,0,0,0,0,0,0,DROUGHT,0,8,0.0
70,22,0,0,0,0,0,0,DROUGHT,0,8,0.0
71,23,0,0,0,0,0,0,DROUGHT,0,8,0.0
72,0,0,0,0,0,0,0,DROUGHT,0,8,0.0
73,1,0,0,0,0,0,0,DROUGHT,0,8,0.0
74,2,0,0,0,0,0,0,DROUGHT,0,8,0.0
75,3,0,0,0,0,0,0,DROUGHT,0,8,0.0
76,4,0,0,0,0,0,0,DROUGHT,0,8,0.0
77,5,0,0,0,0,0,0,DROUGHT,0,8,0.0
78,6,0,0,0,0,0,0,DROUGHT,0,8,0.0
79,7,0,0,0,0,0,0,DROUGHT,0,8,0.0
80,8,0,0,0,0,0,0,DROUGHT,0,8,0.0
81,9,0,0,0,0,0,0,CLEAR,0,8,0.0
