tick,hour,alive_total,alive_herbivores,alive_carnivores,alive_insectivores,avg_thirst,avg_hunger,weather,hole_drinkers,hole_capacity,hole_utilization_pct
1,1,20,16,4,4,2.0,0.8,CLEAR,0,23,0.0
2,2,20,16,4,4,4.0,1.6,CLEAR,0,23,0.0
3,3,20,16,4,4,6.0,2.4,CLEAR,0,23,0.0
4,4,20,16,4,4,8.0,3.2,CLEAR,0,23,0.0
5,5,20,16,4,4,10.0,4.0,CLEAR,0,23,0.0
6,6,20,16,4,4,12.0,1.4,CLEAR,0,23,0.0
7,7,20,16,4,4,14.0,1.8,CLEAR,0,23,0.0
8,8,20,16,4,4,16.0,2.2,CLEAR,0,23,0.0
9,9,20,16,4,4,18.0,2.6,CLEAR,0,23,0.0
10,10,20,16,4,4,20.0,3.0,CLEAR,0,23,0.0
11,11,20,16,4,4,22.0,3.4,CLEAR,0,23,0.0
12,12,20,16,4,4,24.0,3.8,CLEAR,0,23,0.0
13,13,20,16,4,4,26.0,4.2,CLEAR,0,23,0.0
14,14,20,16,4,4,28.0,4.6,CLEAR,0,23,0.0
15,15,20,16,4,4,30.0,5.0,CLEAR,0,23,0.0
16,16,20,16,4,4,32.0,5.4,CLEAR,0,23,0.0
17,17,20,16,4,4,34.0,5.8,CLEAR,0,23,0.0
18,18,20,16,4,4,36.0,4.2,CLEAR,0,23,0.0
19,19,20,16,4,4,38.0,5.0,CLEAR,0,23,0.0
20,20,20,16,4,4,40.0,5.8,CLEAR,0,23,0.0
21,21,20,16,4,4,41.0,6.6,RAIN,0,23,0.0
22,22,20,16,4,4,42.0,7.4,RAIN,0,23,0.0
23,23,20,16,4,4,43.0,8.2,RAIN,0,23,0.0
24,0,20,16,4,4,44.0,9.0,RAIN,0,23,0.0
25,1,20,16,4,4,45.0,9.8,RAIN,0,23,0.0
26,2,20,16,4,4,46.0,10.6,RAIN,0,23,0.0
27,3,20,16,4,4,47.0,11.4,RAIN,0,23,0.0
28,4,20,16,4,4,48.0,12.2,RAIN,0,23,0.0
29,5,20,16,4,4,49.0,13.0,RAIN,0,23,0.0
30,6,20,16,4,4,50.0,6.2,RAIN,0,23,0.0
31,7,20,16,4,4,51.0,6.6,RAIN,0,23,0.0
32,8,20,16,4,4,52.0,7.0,RAIN,0,23,0.0
33,9,20,16,4,4,53.0,7.4,RAIN,0,23,0.0
34,10,20,16,4,4,54.0,7.8,RAIN,0,23,0.0
35,11,20,16,4,4,55.0,8.2,RAIN,0,23,0.0
36,12,20,16,4,4,56.0,8.6,RAIN,0,23,0.0
37,13,20,16,4,4,57.0,9.0,RAIN,0,23,0.0
38,14,20,16,4,4,58.0,9.4,RAIN,0,23,0.0
39,15,20,16,4,4,59.0,9.8,RAIN,0,23,0.0
40,16,20,16,4,4,60.0,10.2,RAIN,0,23,0.0
41,17,20,16,4,4,63.0,11.4,STORM,0,23,0.0
42,18,20,16,4,4,66.0,11.0,STORM,0,23,0.0
43,19,20,16,4,4,69.0,13.4,STORM,0,23,0.0
44,20,20,16,4,4,72.0,15.8,STORM,0,23,0.0
45,21,20,16,4,4,75.0,18.2,STORM,0,23,0.0
46,22,20,16,4,4,78.0,20.6,STORM,0,23,0.0
47,23,20,16,4,4,81.0,23.0,STORM,0,23,0.0
48,0,20,16,4,4,84.0,25.4,STORM,0,23,0.0
49,1,20,16,4,4,87.0,13.4,STORM,0,23,0.0
50,2,20,16,4,4,90.0,14.0,STORM,0,23,0.0
51,3,20,16,4,4,93.0,14.6,STORM,0,23,0.0
52,4,20,16,4,4,96.0,15.2,STORM,0,23,0.0
53,5,20,16,4,4,99.0,15.8,STORM,0,23,0.0
